"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"111361","생활서비스시설_공원_0388","ZON216","생활서비스시설_공원"," "," ","어린이공원(중화리)"," ","",""
"111362","생활서비스시설_공원_0389","ZON216","생활서비스시설_공원"," "," ","어린이공원(햇님)"," ","",""
"111363","생활서비스시설_공원_0390","ZON216","생활서비스시설_공원"," "," ","어린이공원(샛별)"," ","",""
"111364","생활서비스시설_공원_0392","ZON216","생활서비스시설_공원"," "," ","어린이공원(세화)"," ","",""
"111365","생활서비스시설_공원_0393","ZON216","생활서비스시설_공원"," "," ","어린이공원(초롱)"," ","",""
"111366","생활서비스시설_공원_0395","ZON216","생활서비스시설_공원"," "," ","어린이공원(한신)"," ","",""
"111367","생활서비스시설_공원_0396","ZON216","생활서비스시설_공원"," "," ","어린이공원(햇살)"," ","",""
"111368","생활서비스시설_공원_0398","ZON216","생활서비스시설_공원"," "," ","마을마당(양지)"," ","",""
"111369","생활서비스시설_공원_0399","ZON216","생활서비스시설_공원"," "," ","기타(한신분수공원)"," ","",""
"111370","생활서비스시설_공원_0301","ZON216","생활서비스시설_공원"," "," ","어린이공원(선농단)"," ","",""
"111371","생활서비스시설_공원_0303","ZON216","생활서비스시설_공원"," "," ","어린이공원(우산각)"," ","",""
"111372","생활서비스시설_공원_0305","ZON216","생활서비스시설_공원"," "," ","마을마당(답십리3동)"," ","",""
"111373","생활서비스시설_공원_0309","ZON216","생활서비스시설_공원"," "," ","어린이공원(독구말)"," ","",""
"111374","생활서비스시설_공원_0312","ZON216","생활서비스시설_공원"," "," ","어린이공원(마로니에)"," ","",""
"111375","생활서비스시설_공원_0315","ZON216","생활서비스시설_공원"," "," ","어린이공원(활터)"," ","",""
"111376","생활서비스시설_공원_0316","ZON216","생활서비스시설_공원"," "," ","근린공원(답십리<시공원>)"," ","",""
"111377","생활서비스시설_공원_0317","ZON216","생활서비스시설_공원"," "," ","근린공원((청량)<시공원>)"," ","",""
"111378","생활서비스시설_공원_0321","ZON216","생활서비스시설_공원"," "," ","근린공원(배봉산<시공원>)"," ","",""
"111379","생활서비스시설_공원_0323","ZON216","생활서비스시설_공원"," "," ","어린이공원(느티나무)"," ","",""
"111380","생활서비스시설_공원_0327","ZON216","생활서비스시설_공원"," "," ","근린공원(홍릉<시공원>)"," ","",""
"111381","생활서비스시설_공원_0330","ZON216","생활서비스시설_공원"," "," ","마을마당(전농3동)"," ","",""
"111382","생활서비스시설_공원_0332","ZON216","생활서비스시설_공원"," "," ","마을마당(이문3동)"," ","",""
"111383","생활서비스시설_공원_0335","ZON216","생활서비스시설_공원"," "," ","마을마당(우림)"," ","",""
"111384","생활서비스시설_공원_0338","ZON216","생활서비스시설_공원"," "," ","어린이공원(상봉)"," ","",""
"111385","생활서비스시설_공원_0341","ZON216","생활서비스시설_공원"," "," ","어린이공원(갓바위)"," ","",""
"111386","생활서비스시설_공원_0345","ZON216","생활서비스시설_공원"," "," ","어린이공원(샘터)"," ","",""
"111387","생활서비스시설_공원_0347","ZON216","생활서비스시설_공원"," "," ","마을마당(사가정역)"," ","",""
"111388","생활서비스시설_공원_0367","ZON216","생활서비스시설_공원"," "," ","어린이공원(달동산)"," ","",""
"111389","생활서비스시설_공원_0370","ZON216","생활서비스시설_공원"," "," ","어린이공원(신내지구5)"," ","",""
"111390","생활서비스시설_공원_0373","ZON216","생활서비스시설_공원"," "," ","어린이공원(소파)"," ","",""
"111391","생활서비스시설_공원_0376","ZON216","생활서비스시설_공원"," "," ","마을마당(봉우재)"," ","",""
"111392","생활서비스시설_공원_0383","ZON216","생활서비스시설_공원"," "," ","마을마당(봉현)"," ","",""
"111393","생활서비스시설_공원_0386","ZON216","생활서비스시설_공원"," "," ","마을마당(봉화마을마당)"," ","",""
"111394","생활서비스시설_공원_0387","ZON216","생활서비스시설_공원"," "," ","어린이공원(신내지구3)"," ","",""
"111395","생활서비스시설_공원_0378","ZON216","생활서비스시설_공원"," "," ","도시자연공원(용마<시공원>)"," ","",""
"111396","생활서비스시설_공원_0382","ZON216","생활서비스시설_공원"," "," ","어린이공원(송계)"," ","",""
"111397","생활서비스시설_공원_0439","ZON216","생활서비스시설_공원"," "," ","근린공원(성북<시공원>)"," ","",""
"111398","생활서비스시설_공원_0441","ZON216","생활서비스시설_공원"," "," ","기타공원(석관1동쉼터)"," ","",""
