위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.5002403,126.8511374,노외,134,공영,개봉1동 노외
37.5045463,126.8456674,노외,56,공영,개봉1동 마을공동
37.5051278,126.8573617,노외,66,공영,고척리본타운
37.5023063,126.863882,노외,125,공영,고척1동 마을공동
37.4872382,126.8808103,노외,198,공영,하늘공원 주차장
37.4904165,126.891578,노외,203,공영,구로리공원 지하
37.500809,126.886021,노외,77,공영,구로5동 마을공동
37.4971037,126.889559,노외,245,공영,구로아트밸리 지하
37.4850219,126.888408,노외,20,공영,구로3동 마을공동
37.491491,126.8883001,노외,81,공영,구로2동 마을공동
37.6145633,127.025127,노외,59,공영,송천동
37.6351482,127.0191574,노상,48,공영,나눔터길
37.6334583,127.0193948,노상,35,공영,빨래골
37.620006,127.0285111,노상,76,공영,으뜸공원(무인)
37.6201434,127.0202413,노외,47,공영,대지시장길
37.6258661,127.015692,노외,43,공영,삼양시장길
37.6247155,127.0154205,노외,47,공영,청암
37.6361708,127.0185347,노외,73,공영,인수동
37.6333382,127.0206239,노외,80,공영,색동공원
37.6306612,127.0174444,노외,91,공영,수유일공원
37.6279612,127.0169821,노외,20,공영,은혜
37.6236738,127.0252208,노상,41,공영,큰마을길
37.622899,127.0182175,노외,95,공영,삼양마을공원
37.6460297,127.0218735,노외,62,공영,수유2동
37.6436141,127.0251254,노상,60,공영,가오천
37.622054,127.031151,노상,21,공영,구청앞
37.6399548,127.0257737,노외,45,공영,시범
37.637324,127.0332067,노외,185,공영,수송초등학교
37.64414204,127.0124546,노외,152,공영,장미원시장
37.6260722,127.0134696,노외,87,공영,구세군길
37.6116327,127.0335871,노외,54,공영,송중동
37.6251004,127.0334059,노외,187,공영,번동햇살
37.6267046,127.0365901,노외,20,공영,번2동
37.6184131,127.0364771,노외,45,공영,어울림소공원
37.6220897,127.0311622,노외,76,공영,오패산
37.6187374,127.0297161,노상,80,공영,교육청길
37.6320481,127.0235551,노외,19,공영,수유쌈지
37.6474065,127.0113669,노상,37,공영,아카데미
37.6567143,127.0115891,노외,82,공영,우이동
37.6416051,127.0149889,노외,120,공영,가오리
37.6633705,127.0126653,노외,158,공영,교통광장
37.6240065,127.0195388,노외,104,공영,냉천길
37.6409017,127.0197223,노상,36,공영,벽산
37.6112017,127.0335232,노외,6,공영,송중동(임시)
37.6305304,127.0218524,노외,116,공영,수유마을시장
37.6285602,127.0223435,노외,155,공영,미아동
37.55923346,126.985503,노외,48,공영,남산동 공영주차장
37.55631375,127.0159916,노외,83,공영,동산 공영주차장
37.5682426,126.9799468,노외,15,공영,다동공원 제4 공영주차장
37.55592073,126.9645377,노외,162,공영,손기정체육공원 공영주차장
37.559936,127.0013265,노외,106,공영,장충 공영주차장
37.55909088,126.9738466,노외,23,공영,서소문삼성생명뒤 공영주차장
37.549029,127.0063055,노외,91,공영,버티 공영주차장
37.56592686,126.9955901,노상,26,공영,삼풍상가 공영주차장
37.5689855,127.0057956,부설,71,공영,중구구민회관 부설주차장
37.558923,127.0134049,노외,51,공영,청구 공영주차장
37.55438305,127.0086101,노외,85,공영,다산동 공영주차장
37.55659975,126.9958714,노외,47,공영,필동 공영주차장
37.556504,127.0110187,노외,31,공영,문화 공영주차장
37.552237,127.0133313,노외,88,공영,약수동 공영주차장
37.550508,127.004839,노외,44,공영,성곽 공영주차장
37.565173,127.0170054,노외,45,공영,신당사거리 공영주차장
37.552118,127.0057006,노외,24,공영,충현어린이공원 공영주차장
37.552153,127.0057006,노외,108,공영,충현 공영주차장
37.55909088,126.9738466,노상,14,공영,진양상가 인공도로 공영주차장
37.56845681,127.0053518,노상,9,공영,훈련원공원옆 공영주차장
37.5613576,126.9729947,노상,16,공영,서소문올리브타워옆 공영주차장
37.56369098,126.9812519,노상,4,공영,조선호텔앞 공영주차장
37.56748249,127.018011,노외,113,공영,황학어린이공원 공영주차장
37.55163344,127.0043909,노외,75,공영,다산아트 공영주차장
37.563676,126.9998008,노외,491,공영,묵정공원지하 공영주차장
37.55950762,127.0120996,노외,12,공영,새싹마을 공영주차장
37.56210861,127.014538,노외,75,공영,신당동 공영주차장
37.55909088,126.9738466,노상,32,공영,남평화시장앞 공영주차장
37.55909088,126.9738466,노상,17,공영,맑은내길 공영주차장
37.56097283,126.9770151,노상,9,공영,한국관광공사옆 공영주차장
37.55909088,126.9738466,노상,10,공영,코오롱빌딩옆 공영주차장
37.55909088,126.9738466,노상,24,공영,남대문피혁상가남측 공영주차장
37.56830549,126.9957258,노상,47,공영,대림상가 공영주차장
37.55825878,126.9758162,노상,5,공영,국제화재빌딩옆 공영주차장
37.56557705,126.9696428,노상,13,공영,이화여고앞 공영주차장
37.56794672,126.977995,노상,19,공영,뉴국제호텔앞 공영주차장
37.562479,126.9734829,노상,9,공영,해운센터앞 공영주차장
37.56800835,126.9799921,노상,7,공영,다동쉼터 공영주차장
37.530553,126.877866,노외,280,공영,한마음
37.518377,126.877689,노외,285,공영,신정교 주차장
37.517265,126.867026,노상,70,공영,양천구청
37.51879987,126.869218,노상,11,공영,양천공원옆(전기차충전소)
37.519832,126.869232,노상,24,공영,한전뒷길
