id,name,type,subtype,address,capacity,facility,idle_score,lat,lon
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48843885,126.93059243
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48893304,126.92950996
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48783229,126.9310132
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48741271,126.93289825
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48968198,126.92569472
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48756582,126.93159339
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48809036,126.93134306
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48758782,126.93154407
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.4884149,126.93064183
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48962361,126.92608617
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48745665,126.93279646
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48848513,126.93049361
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48802277,126.93149005
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48958799,126.92630461
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48877237,126.92985014
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48881637,126.92975142
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48794759,126.93074705
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.4884613,126.93054304
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48904612,126.92925705
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48767029,126.9313598
1163833,봉천복개3 공영주차장(시),노상 주차장,시간제 주차장,관악구 신림동 1467-3,1,주차장,0.0,37.48959749,126.92624776
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654105,126.89000673
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658707,126.88988676
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658655,126.89003203
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658696,126.88995939
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654108,126.88998302
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658699,126.88993456
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46660227,126.89009808
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654127,126.88986296
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654581,126.89009797
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658651,126.8900567
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658714,126.88983859
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658688,126.89000682
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658703,126.88991085
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658692,126.88998311
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654071,126.89003194
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654151,126.88993519
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.4665412,126.88991076
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654123,126.88988667
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46654131,126.8898385
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658718,126.88981413
1167546,독산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 독산동 1081-4,1,주차장,0.0,37.46658711,126.88986305
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56882441,126.99623776
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56877035,126.99578643
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56894623,126.9973307
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56882965,126.99630542
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56895335,126.99739338
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56896044,126.997456
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56878199,126.99591057
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56896653,126.99751818
1208601,청계2(북2) 공영주차장(시),노상 주차장,시간제 주차장,종로구 관수동 91-4,1,주차장,0.0,37.56877674,126.99584738
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56967214,127.00112596
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56916536,126.99851563
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56960989,127.00079461
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56959507,127.00072641
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56963304,127.00091791
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56928478,126.99911222
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56966045,127.0010714
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56958147,127.00065667
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56925787,126.99897978
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56922056,126.99879592
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56927065,126.99904558
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56962119,127.00085573
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56919089,126.99864432
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56957034,127.00059003
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56929756,126.99917886
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56964972,127.00101524
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56958071,127.00061744
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56917898,126.99858049
1210657,청계3(북1) 공영주차장(시),노상 주차장,시간제 주차장,종로구 예지동 140-1,1,주차장,0.0,37.56924576,126.99891399
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49294669,126.88263891
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49276606,126.8825195
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49293677,126.88260901
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49279709,126.88255837
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49288559,126.88251173
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49287143,126.88270182
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.4928576,126.88266744
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49296464,126.88270317
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49288926,126.88277064
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49281594,126.88258226
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49283218,126.8824385
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.4928513,126.88246397
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49281037,126.88241316
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49292208,126.8825791
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49274815,126.8824956
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.49295594,126.8826702
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.492845,126.88263904
1234305,가마산고가밑 공영주차장(시),노상 주차장,시간제 주차장,구로구 구로동 414-13,1,주차장,0.0,37.4928816,126.88273623
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.5693254,127.00115633
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56879022,126.99838423
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56898377,126.99935493
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56933702,127.00122034
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56903312,126.99960609
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56884923,126.99869978
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56881311,126.99850171
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56904563,126.99966943
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56907066,126.99979552
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56902091,126.99954331
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56883774,126.99862734
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56895905,126.99922882
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56897125,126.99929159
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56905815,126.99973217
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56880167,126.998443
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.5690088,126.99948102
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56931358,127.00109307
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56882563,126.99856505
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56899628,126.99941768
1235522,청계3(남) 공영주차장(시),노상 주차장,시간제 주차장,중구 주교동 51-3,1,주차장,0.0,37.56934864,127.00128399
1235665,청계6(청평화) 공영주차장(시),노상 주차장,시간제 주차장,중구 신당동 217-91 0,1,주차장,0.0,37.56959414,127.01472989
1235665,청계6(청평화) 공영주차장(시),노상 주차장,시간제 주차장,중구 신당동 217-91 0,1,주차장,0.0,37.56960064,127.01514828
1235665,청계6(청평화) 공영주차장(시),노상 주차장,시간제 주차장,중구 신당동 217-91 0,1,주차장,0.0,37.56959934,127.01508269
1235665,청계6(청평화) 공영주차장(시),노상 주차장,시간제 주차장,중구 신당동 217-91 0,1,주차장,0.0,37.56960075,127.01521402
1235665,청계6(청평화) 공영주차장(시),노상 주차장,시간제 주차장,중구 신당동 217-91 0,1,주차장,0.0,37.56959839,127.0150174
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56069448,126.97708039
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56093651,126.97800584
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56071536,126.97714199
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56067339,126.97701977
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56096448,126.97813425
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56094985,126.9780686
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56092361,126.97794273
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56089728,126.97781701
1236612,남대문 화물 공영주차장(시),노상 주차장,시간제 주차장,중구 남대문로4가 24-1,1,주차장,0.0,37.56091076,126.97788023
1247636,신설동 공영주차장(시),노외 주차장,시간제 주차장,동대문구 신설동 114-29,79,주차장,0.05454545454545454,37.57252061,127.02425684
1277144,영등포구청역 공영주차장(시),노외 주차장,시간제 주차장,영등포구 당산동3가 370-3,137,주차장,0.0951048951048951,37.52432737,126.89548892
1277145,잠실역 공영주차장(시),노외 주차장,시간제 주차장,송파구 신천동 27-0,357,주차장,0.24895104895104897,37.51427683,127.10341414
1277146,장안2동 공영주차장(시),노외 주차장,시간제 주차장,동대문구 장안동 286-9,80,주차장,0.05524475524475524,37.5782752,127.07061896
1277160,당산노외 공영주차장(시),노외 주차장,시간제 주차장,영등포구 당산동3가 2-1,236,주차장,0.16433566433566435,37.52625065,126.89945376
1277163,명일파출소 공영주차장(시),노외 주차장,시간제 주차장,강동구 명일동 47-9,12,주차장,0.007692307692307693,37.55361065,127.15591212
1366527,동작대교 공영주차장(시),노외 주차장,시간제 주차장,용산구 용산동6가 69-11,88,주차장,0.06083916083916084,37.518577,126.983287
1366576,개화역 공영주차장(시),노외 주차장,시간제 주차장,강서구 개화동 664-0,483,주차장,0.33706293706293705,37.57798421,126.79821222
1366590,신대방역 공영주차장(시),노외 주차장,시간제 주차장,관악구 신림동 498-0,60,주차장,0.04125874125874126,37.48830327,126.91452278
1366593,구로디지털단지역(상) 공영주차장(시),노외 주차장,시간제 주차장,관악구 신림동 1677-5,31,주차장,0.020979020979020976,37.48481135,126.90323392
1366602,일원터널 공영주차장(시),노외 주차장,시간제 주차장,강남구 일원동 722-1,11,주차장,0.006993006993006994,37.48285728,127.07937197
1366624,창동역(서) 공영주차장(시),노외 주차장,시간제 주차장,도봉구 창동 330-0,106,주차장,0.07342657342657342,37.65237042,127.04567683
1366903,석계역 공영주차장(시),노외 주차장,시간제 주차장,노원구 월계동 50-9,70,주차장,0.04825174825174825,37.615292,127.062997
1367120,동구로 공영주차장(시),노외 주차장,시간제 주차장,구로구 구로동 94-1,70,주차장,0.04825174825174825,37.49510602,126.89186155
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46593739,126.8872329
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.4659915,126.8874128
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46583997,126.8869005
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46589842,126.8870999
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46600346,126.8874524
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.465988292,126.88712594
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46591791,126.8871664
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46597358,126.8873535
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46601541,126.8874919
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46590816,126.8871332
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46602736,126.8875314
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46587894,126.8870334
1367773,가산동 금천교 공영주차장(시),노상 주차장,시간제 주차장,금천구 가산동 691-3,1,주차장,0.0,37.46585945,126.886967
