ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
구로3동,구로구,14,0.342,0.346,1.0,0.45,0.848,0.964,0.968,100.0
구로4동,구로구,6,0.089,0.423,1.0,0.689,0.653,1.0,0.969,100.0
구로5동,구로구,14,0.224,0.492,1.0,0.661,0.8,0.964,0.973,100.0
구산동,은평구,19,0.083,0.491,1.0,0.812,0.822,0.763,0.928,94.737
구의1동,광진구,9,0.133,0.473,1.0,0.775,0.637,1.0,0.984,100.0
구의2동,광진구,19,0.091,0.436,1.0,0.906,0.806,0.684,0.901,78.947
구의3동,광진구,13,0.138,0.62,1.0,0.749,0.848,1.0,0.97,100.0
군자동,광진구,10,0.136,0.351,1.0,0.736,0.634,0.85,0.952,100.0
금호1가동,성동구,5,0.034,0.398,1.0,0.876,0.853,0.6,0.881,100.0
금호2·3가동,성동구,10,0.082,0.246,1.0,0.876,0.652,0.5,0.846,70.0
금호4가동,성동구,11,0.036,0.475,1.0,0.936,0.841,0.682,0.891,100.0
길동,강동구,21,0.285,0.54,1.0,0.793,0.821,0.905,0.95,95.238
길음1동,성북구,12,0.115,0.519,1.0,0.857,0.869,0.75,0.914,100.0
길음2동,성북구,10,0.061,0.482,1.0,0.844,0.681,0.9,0.938,100.0
낙성대동,관악구,29,0.148,0.47,1.0,0.834,0.906,0.69,0.909,89.655
난곡동,관악구,13,0.057,0.474,1.0,0.91,0.671,0.846,0.939,100.0
난향동,관악구,11,0.021,0.365,1.0,0.951,0.886,0.5,0.851,63.636
남가좌1동,서대문구,7,0.027,0.605,1.0,0.8,0.924,0.857,0.945,100.0
남가좌2동,서대문구,11,0.097,0.455,1.0,0.788,0.702,0.864,0.95,100.0
남영동,용산구,16,0.156,0.402,1.0,0.587,0.792,0.938,0.959,100.0
남현동,관악구,45,0.117,0.408,1.0,0.983,0.941,0.489,0.854,66.667
내곡동,서초구,172,0.071,0.0,0.0,0.993,0.972,0.738,0.909,0.0
노량진1동,동작구,24,0.184,0.524,1.0,0.799,0.796,0.854,0.93,100.0
노량진2동,동작구,8,0.079,0.463,1.0,0.738,0.668,1.0,0.97,100.0
녹번동,은평구,25,0.13,0.435,1.0,0.872,0.773,0.7,0.911,96.0
논현1동,강남구,17,0.308,0.55,1.0,0.808,0.755,0.941,0.96,100.0
논현2동,강남구,19,0.342,0.465,1.0,0.644,0.799,0.921,0.955,100.0
능동,광진구,16,0.072,0.613,1.0,0.844,0.811,0.938,0.963,100.0
다산동,중구,8,0.066,0.262,1.0,0.806,0.631,0.562,0.903,100.0
답십리1동,동대문구,11,0.079,0.395,1.0,0.781,0.571,0.909,0.957,100.0
답십리2동,동대문구,12,0.081,0.489,1.0,0.799,0.716,0.875,0.954,100.0
당산1동,영등포구,9,0.153,0.305,1.0,0.611,0.701,0.778,0.95,100.0
당산2동,영등포구,25,0.221,0.614,1.0,0.785,0.889,0.92,0.961,100.0
대림1동,영등포구,7,0.061,0.37,1.0,0.733,0.632,0.857,0.955,100.0
대림2동,영등포구,9,0.127,0.39,1.0,0.741,0.628,0.889,0.954,100.0
대림3동,영등포구,12,0.133,0.57,1.0,0.844,0.719,0.958,0.968,100.0
대방동,동작구,21,0.167,0.489,1.0,0.733,0.785,0.905,0.947,100.0
대조동,은평구,10,0.223,0.454,1.0,0.821,0.649,0.9,0.949,100.0
대치1동,강남구,13,0.166,0.0,0.0,0.456,0.955,0.923,0.96,0.0
대치2동,강남구,26,0.273,0.0,0.0,0.557,0.916,0.904,0.952,0.0
대치4동,강남구,8,0.35,0.0,0.0,0.747,0.74,0.938,0.969,0.0
대학동,관악구,115,0.185,0.325,1.0,0.871,0.966,0.47,0.835,59.13
대흥동,마포구,12,0.113,0.328,1.0,0.656,0.674,0.792,0.932,100.0
도곡1동,강남구,14,0.165,0.0,0.0,0.639,0.906,0.821,0.935,0.0
도곡2동,강남구,12,0.138,0.0,0.0,0.572,0.914,0.792,0.937,0.0
도림동,영등포구,8,0.051,0.524,1.0,0.932,0.618,0.938,0.98,100.0
도봉1동,도봉구,114,0.073,0.489,1.0,0.973,0.957,0.579,0.867,73.684
도봉2동,도봉구,19,0.058,0.511,1.0,0.644,0.874,0.974,0.954,100.0
도화동,마포구,7,0.136,0.373,1.0,0.556,0.767,0.929,0.96,100.0
독산1동,금천구,28,0.19,0.534,1.0,0.658,0.866,0.911,0.962,100.0
독산2동,금천구,7,0.043,0.421,1.0,0.867,0.57,0.929,0.953,100.0
독산3동,금천구,12,0.081,0.517,1.0,0.799,0.679,1.0,0.975,100.0
독산4동,금천구,8,0.049,0.566,1.0,0.864,0.685,1.0,0.97,100.0
