h3_index,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,noise_total,avg_slope,terrain_zone,avg_available_pct,avg_wind_ms
8930e1c2653ffff,인수동,강북구,0.04232377015663379,0.17506130565399133,0.10869253790531257,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,1.4009751081466675,Green,92.723,1.1819
8930e1c265bffff,인수동,강북구,0.05500284599885632,0.17506130565399133,0.11503207582642383,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,5.322634220123291,Yellow,92.723,1.1819
8930e1c267bffff,번1동,강북구,0.005483484196993749,0.0,0.0027417420984968744,1.0,0.5833333333333334,0.9448,1.0,0.7,0.3857933333333333,25,1311.0,2.0375592708587646,Green,92.723,1.1819
8930e1c26c3ffff,인수동,강북구,0.06932780363476078,0.17506130565399133,0.12219455464437606,1.0,0.8333333333333334,0.9448,1.0,0.7,0.5511333333333333,10,1311.0,1.4449840784072876,Green,92.723,1.1819
8930e1c26c7ffff,수유2동,강북구,0.008272629921907554,0.0,0.004136314960953777,1.0,0.6666666666666667,0.9448,1.0,0.7,0.44090666666666667,20,1311.0,2.521871566772461,Green,92.723,1.1819
8930e1c26cbffff,인수동,강북구,0.05561839603012321,0.17506130565399133,0.11533985084205728,1.0,0.9833333333333334,0.9448,1.0,0.7,0.6503373333333333,1,1311.0,2.8987536430358887,Green,92.723,1.1819
8930e1c26cfffff,인수동,강북구,0.030393392766937505,0.17506130565399133,0.10272734921046442,1.0,0.8833333333333333,0.9448,1.0,0.7,0.5842013333333332,7,1311.0,0.9278231263160706,Green,92.723,1.1819
8930e1c26d3ffff,우이동,강북구,0.020615000594139222,0.10626919225896168,0.06344209642655045,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,6.431735038757324,Yellow,92.723,1.1819
8930e1c26d7ffff,우이동,강북구,0.0,0.10626919225896168,0.05313459612948084,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,0.5293110013008118,Green,92.723,1.1819
8930e1c26dbffff,인수동,강북구,0.06628212063747299,0.17506130565399133,0.12067171314573216,1.0,0.9166666666666666,0.9448,1.0,0.7,0.6062466666666666,5,1311.0,0.9606177806854248,Green,92.723,1.1819
8930e1c3597ffff,수유1동,강북구,0.0077776802931425445,0.0,0.0038888401465712722,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.76900315284729,Green,92.723,1.1819
8930e1d1b03ffff,인수동,강북구,0.001387950297001596,0.17506130565399133,0.08822462797549646,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,3.8745930194854736,Green,92.723,1.1819
8930e1d1b07ffff,인수동,강북구,0.003228326381423602,0.17506130565399133,0.08914481601770746,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,5.351283550262451,Yellow,92.723,1.1819
8930e1d1b13ffff,인수동,강북구,0.0004092048339226202,0.17506130565399133,0.08773525524395698,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,0.5794077515602112,Green,92.723,1.1819
8930e1d1b1bffff,인수동,강북구,0.0,0.17506130565399133,0.08753065282699567,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.3959126472473145,Green,92.723,1.1819
8930e1d1b23ffff,인수동,강북구,0.05436219993007456,0.17506130565399133,0.11471175279203294,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.2934272289276123,Green,92.723,1.1819
8930e1d1b27ffff,인수동,강북구,0.05310460960571952,0.17506130565399133,0.11408295762985543,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,5.384128093719482,Yellow,92.723,1.1819
8930e1d1b2bffff,인수동,강북구,0.009969400902772388,0.17506130565399133,0.09251535327838187,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.764587879180908,Green,92.723,1.1819
