h3_index,상권업종대분류명,store_count
8930e03606fffff,소매,27
8930e03606fffff,수리·개인,25
8930e03606fffff,시설관리·임대,4
8930e03606fffff,예술·스포츠,9
8930e03606fffff,음식,49
8930e036073ffff,과학·기술,7
8930e036073ffff,교육,1
8930e036073ffff,보건의료,7
8930e036073ffff,부동산,6
8930e036073ffff,소매,28
8930e036073ffff,수리·개인,13
8930e036073ffff,숙박,3
8930e036073ffff,시설관리·임대,2
8930e036073ffff,예술·스포츠,10
8930e036073ffff,음식,76
8930e036077ffff,과학·기술,9
8930e036077ffff,교육,3
8930e036077ffff,보건의료,7
8930e036077ffff,부동산,5
8930e036077ffff,소매,93
8930e036077ffff,수리·개인,16
8930e036077ffff,숙박,3
8930e036077ffff,시설관리·임대,8
8930e036077ffff,예술·스포츠,9
8930e036077ffff,음식,43
8930e03607bffff,교육,2
8930e03607bffff,소매,4
8930e03607bffff,수리·개인,2
8930e03607bffff,숙박,3
8930e03607bffff,음식,4
8930e036083ffff,과학·기술,6
8930e036083ffff,교육,4
8930e036083ffff,보건의료,2
8930e036083ffff,부동산,4
8930e036083ffff,소매,12
8930e036083ffff,수리·개인,13
8930e036083ffff,숙박,2
8930e036083ffff,시설관리·임대,1
8930e036083ffff,예술·스포츠,2
8930e036083ffff,음식,17
8930e036087ffff,과학·기술,2
8930e036087ffff,교육,7
8930e036087ffff,보건의료,1
8930e036087ffff,부동산,3
8930e036087ffff,소매,32
8930e036087ffff,수리·개인,10
8930e036087ffff,숙박,4
8930e036087ffff,시설관리·임대,1
8930e036087ffff,예술·스포츠,5
8930e036087ffff,음식,32
8930e03608bffff,과학·기술,1
8930e03608bffff,교육,1
8930e03608bffff,소매,3
8930e03608bffff,수리·개인,1
8930e03608bffff,음식,1
8930e03608fffff,교육,2
8930e03608fffff,부동산,1
8930e03608fffff,소매,2
8930e03608fffff,수리·개인,3
8930e03608fffff,숙박,1
8930e03608fffff,시설관리·임대,3
8930e03608fffff,예술·스포츠,1
8930e03608fffff,음식,4
8930e036093ffff,과학·기술,3
8930e036093ffff,교육,2
8930e036093ffff,보건의료,1
8930e036093ffff,부동산,1
8930e036093ffff,소매,10
8930e036093ffff,수리·개인,2
8930e036093ffff,시설관리·임대,1
8930e036093ffff,예술·스포츠,4
8930e036093ffff,음식,16
8930e036097ffff,과학·기술,6
8930e036097ffff,교육,1
8930e036097ffff,부동산,3
8930e036097ffff,소매,9
8930e036097ffff,수리·개인,8
8930e036097ffff,숙박,4
8930e036097ffff,시설관리·임대,4
8930e036097ffff,예술·스포츠,1
8930e036097ffff,음식,12
8930e03609bffff,과학·기술,71
8930e03609bffff,교육,18
8930e03609bffff,보건의료,1
8930e03609bffff,부동산,9
8930e03609bffff,소매,18
8930e03609bffff,수리·개인,11
8930e03609bffff,시설관리·임대,14
8930e03609bffff,예술·스포츠,4
8930e03609bffff,음식,25
8930e0360a3ffff,과학·기술,10
8930e0360a3ffff,교육,3
8930e0360a3ffff,보건의료,1
8930e0360a3ffff,부동산,1
8930e0360a3ffff,소매,17
8930e0360a3ffff,수리·개인,13
8930e0360a3ffff,숙박,1
8930e0360a3ffff,시설관리·임대,2
8930e0360a3ffff,예술·스포츠,5
8930e0360a3ffff,음식,46
8930e0360a7ffff,과학·기술,12
8930e0360a7ffff,교육,8
8930e0360a7ffff,보건의료,3
8930e0360a7ffff,부동산,5
8930e0360a7ffff,소매,30
8930e0360a7ffff,수리·개인,23
8930e0360a7ffff,숙박,4
8930e0360a7ffff,시설관리·임대,3
8930e0360a7ffff,예술·스포츠,8
8930e0360a7ffff,음식,45
8930e0360abffff,과학·기술,5
8930e0360abffff,교육,13
8930e0360abffff,부동산,6
8930e0360abffff,소매,20
8930e0360abffff,수리·개인,20
8930e0360abffff,시설관리·임대,3
8930e0360abffff,예술·스포츠,1
8930e0360abffff,음식,16
8930e0360afffff,과학·기술,6
8930e0360afffff,교육,7
8930e0360afffff,보건의료,13
8930e0360afffff,부동산,4
8930e0360afffff,소매,44
8930e0360afffff,수리·개인,25
8930e0360afffff,시설관리·임대,1
8930e0360afffff,예술·스포츠,19
8930e0360afffff,음식,69
8930e0360b3ffff,과학·기술,16
8930e0360b3ffff,교육,5
8930e0360b3ffff,보건의료,15
8930e0360b3ffff,부동산,7
8930e0360b3ffff,소매,64
8930e0360b3ffff,수리·개인,32
8930e0360b3ffff,숙박,2
8930e0360b3ffff,시설관리·임대,6
8930e0360b3ffff,예술·스포츠,15
8930e0360b3ffff,음식,55
8930e0360b7ffff,교육,3
8930e0360b7ffff,부동산,4
8930e0360b7ffff,소매,18
8930e0360b7ffff,수리·개인,16
8930e0360b7ffff,시설관리·임대,5
8930e0360b7ffff,예술·스포츠,15
8930e0360b7ffff,음식,73
8930e0360bbffff,과학·기술,9
8930e0360bbffff,교육,8
8930e0360bbffff,보건의료,4
8930e0360bbffff,부동산,4
8930e0360bbffff,소매,20
8930e0360bbffff,수리·개인,11
8930e0360bbffff,숙박,1
8930e0360bbffff,시설관리·임대,9
8930e0360bbffff,예술·스포츠,5
8930e0360bbffff,음식,37
8930e0360c7ffff,과학·기술,2
8930e0360c7ffff,부동산,5
8930e0360c7ffff,소매,1
