hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency
반포천 공영주차장(파미에)(시),8930e1ca3d3ffff,역삼1동,Yellow,2540.2,2.54,24.275653839111328,43.89303207397461,19.61737823486328,0.6387365146478164
반포천 공영주차장(파미에)(시),8930e1ca2abffff,역삼1동,Green,2186.3,2.19,24.275653839111328,30.363113403320312,6.087459564208984,0.5758328157132451
반포천 공영주차장(파미에)(시),8930e1ca2a3ffff,역삼1동,Green,2109.0,2.11,24.275653839111328,35.88217544555664,11.606521606445312,0.5595201603861134
반포천 공영주차장(파미에)(시),8930e1ca2a7ffff,역삼1동,Green,2319.1,2.32,24.275653839111328,35.54750442504883,11.2718505859375,0.5592754206838019
반포천 공영주차장(파미에)(시),8930e1ca2bbffff,역삼1동,Yellow,1913.5,1.91,24.275653839111328,26.66887664794922,2.3932228088378906,0.5490744460738373
영남 공영주차장(시),8930e1d9553ffff,여의동,Green,1125.7,1.13,20.199066162109375,18.43968391418457,-1.7593822479248047,0.45575880975171035
영남 공영주차장(시),8930e1d954fffff,여의동,Yellow,1546.5,1.55,20.199066162109375,14.094833374023438,-6.1042327880859375,0.45574810655254716
영남 공영주차장(시),8930e1d940fffff,영등포동,Green,290.8,0.29,20.199066162109375,19.86334228515625,-0.335723876953125,0.33488656645350606
영남 공영주차장(시),8930e1d943bffff,영등포동,Green,406.5,0.41,20.199066162109375,21.374828338623047,1.1757621765136719,0.284511959591895
영남 공영주차장(시),8930e1d94a3ffff,영등포동,Green,718.0,0.72,20.199066162109375,18.585895538330078,-1.6131706237792969,0.27609181227242147
구로디지털단지역 공영주차장(시),8930e0364a3ffff,가산동,Green,1796.6,1.8,21.36513328552246,17.85931396484375,-3.505819320678711,0.3495165612607999
구로디지털단지역 공영주차장(시),8930e036487ffff,가산동,Green,2195.6,2.2,21.36513328552246,16.202228546142578,-5.162904739379883,0.349124939827692
구로디지털단지역 공영주차장(시),8930e036467ffff,가산동,Green,2431.6,2.43,21.36513328552246,17.889385223388672,-3.475748062133789,0.3451394119686289
구로디지털단지역 공영주차장(시),8930e0364a7ffff,가산동,Yellow,1529.2,1.53,21.36513328552246,18.478105545043945,-2.8870277404785156,0.340891825655689
구로디지털단지역 공영주차장(시),8930e0acb43ffff,가산동,Yellow,2044.7,2.04,21.36513328552246,14.502777099609375,-6.862356185913086,0.3383005660710674
장안1동 공영주차장(시),8930e1c137bffff,화양동,Green,3219.2,3.22,23.52865982055664,22.745330810546875,-0.7833290100097656,0.261650997389426
장안1동 공영주차장(시),8930e1c130fffff,화양동,Green,2603.7,2.6,23.52865982055664,25.034866333007812,1.5062065124511719,0.23281019725919505
장안1동 공영주차장(시),8930e1c1303ffff,화양동,Yellow,2385.9,2.39,23.52865982055664,17.456928253173828,-6.0717315673828125,0.23234159683485442
장안1동 공영주차장(시),8930e1c130bffff,화양동,Yellow,2697.0,2.7,23.52865982055664,21.482114791870117,-2.0465450286865234,0.23203941946785903
장안1동 공영주차장(시),8930e1c1347ffff,화양동,Green,3008.8,3.01,23.52865982055664,23.1174373626709,-0.4112224578857422,0.23144363394278303
천호역 공영주차장(시),8930e1cf087ffff,둔촌1동,Green,1769.3,1.77,22.664630889892578,25.859922409057617,3.195291519165039,0.37317025266051346
천호역 공영주차장(시),8930e1cf5cfffff,길동,Green,1024.0,1.02,22.664630889892578,23.909238815307617,1.244607925415039,0.3382982849918816
천호역 공영주차장(시),8930e1cf51bffff,길동,Green,1246.7,1.25,22.664630889892578,20.44748306274414,-2.2171478271484375,0.30632673271506167
천호역 공영주차장(시),8930e1cf557ffff,길동,Green,1285.2,1.29,22.664630889892578,19.099687576293945,-3.564943313598633,0.29986599202045816
천호역 공영주차장(시),8930e1cf50fffff,길동,Green,1710.3,1.71,22.664630889892578,24.43999481201172,1.7753639221191406,0.2980932560417669
압구정고가1 공영주차장(시),8930e1ca39bffff,역삼1동,Green,2435.6,2.44,25.00431251525879,40.08778762817383,15.083475112915039,0.53675693527092
압구정고가1 공영주차장(시),8930e1ca06fffff,역삼1동,Green,2465.0,2.47,25.00431251525879,48.771209716796875,23.766897201538086,0.529245178026116
압구정고가1 공영주차장(시),8930e1ca383ffff,역삼1동,Green,2435.5,2.44,25.00431251525879,39.35928726196289,14.354974746704102,0.5275573012322419
압구정고가1 공영주차장(시),8930e1ca063ffff,역삼1동,Green,2221.1,2.22,25.00431251525879,39.439849853515625,14.435537338256836,0.5235152036637469
압구정고가1 공영주차장(시),8930e1ca067ffff,역삼1동,Green,2175.0,2.17,25.00431251525879,38.79556655883789,13.791254043579102,0.521640731092862
