H3_ID,생활인구합계,FNB_Count,Parking_Count,Total_Spaces,RainPump_Count,Storage_Hub_Score,Elevation_Diff,Park_Count,Hiking_Count,Univ_Count,Delivery_HardToReach_Score,Apt_Count,Total_Households,Apt_Parking,OpenSpace_Count,Max_Building_Height,Avg_Building_Height,Building_Count,Optimal_Triangulation_Score,Is_Restricted,Is_Prohibited,Scen_1_No_Restrict,Scen_2_Only_Prohibited,Scen_3_All_Restricted
8930e1db2b7ffff,35.3253.2134.8652.4234.8151.4134.7450.934.8951.0835.5652.0637.1556.241.6964.447.6989.652.2116.9455.63126.2856.36131.0657.2134.657.85135.6159.13134.3858.96133.4257.38130.1855.14124.2451.82111.9249.0890.9746.978.3144.1369.9540.9663.2438.2858.84,0.0,1.0,6.0,0,0.62,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0,12.970675922740119,1,0,True,True,False
8930e1db2bbffff,97.965812.9797.965747.5492.65746.6992.65782.3288.995811.5988.995922.3782.465970.7987.696393.0580.827515.73.517605.663.627498.0452.047483.0456.267533.1259.747514.754.367692.2469.116864.64.096493.2776.775948.6771.215303.6172.245236.5571.665603.1676.855582.3380.365657.6480.965597.58,5.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,65.0,46.333333333333336,3,15.291718936005294,1,0,True,True,False
8930e1db2c3ffff,3433.553422.093419.313425.963398.383439.69*3436.37*3173.09*2584.1212.052385.158.942206.074.952112.95*2108.8*2117.447.22195.077.22315.1911.922562.036.22884.995.133129.235.23500.118.323597.610.123543.663635.443517.91,3.0,1.0,280.0,0,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107.0,107.0,1,21.34357503988621,1,0,True,True,False
8930e1db2c7ffff,127.99591.16122.78583.4397.6582.3498.52581.29101.2583.96121.35594.84137.04621.55128.8157.1698.02124.5115.9798.01115.6134.83873.6109.7413.11931.31122.69943.7143.59957.2144.66968.28148.34989.68143.13986.51169.38*960.61157.484.63922.89128.19*866.86112.474.2821.17146.84*784.58140.03*739.01128.55*685.35144.41*640.6,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,18.800435797884603,1,0,True,True,False
8930e1db2cbffff,3173.083203.413118.693155.013191.923250.993306.773363.284096.585068.215687.376339.226873.76787.926599.356613.456449.036349.66168.595606.874871.154133.153689.543383.83,25.0,1.0,24.0,0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,250.0,250.0,1,20.644458772107406,1,0,True,True,False
8930e1db2cfffff,4.244.244.244.244.244.244.244.277.757.888.8.078.148.148.14*198.64196.084.454.384.354.314.274.24,0.0,1.0,894.0,0,18.38,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0,24.919175109742035,1,0,True,True,False
8930e1db2d3ffff,595.56587.74586.7585.56588.3599.25626.16703.21803.95880.08938.18950.7964.33975.49997.06993.86967.76929.77873.3827.27790.4744.48690.47645.38,0.0,2.0,69.0,0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,20.907215957330436,1,0,True,True,False
8930e1db2d7ffff,25.5420.5815.9218.5615.9223.6334.3754.8269.72104.33188.92235.79256.01229.05204.73219.44220.12243.95232.57227.45230.26165.45102.2453.42,6.0,3.0,92.0,0,12.75,0.0,0.0,0.0,0.0,0.0,1.0,321.0,682.0,2,107.0,107.0,1,21.936437103527098,1,0,True,True,False
8930e1db2dbffff,4725.27300.98203.024739.35295.37200.344761.67288.31200.014739.59285.89199.654720.04286.68200.564795.02292.56204.274909.69*4871.77*5007.1611.865250.464.835271.37565.319.875122.184.765049.838.415440.713.75414.238.835375.76641.74338.845166.9*5226.187.124859.21*5.634656.5212.024670.82506.07269.444682.2452.83253.784640.88394.38235.414537.9346.32220.02,15.0,1.0,186.0,0,7.220000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,22.8497859951061,1,0,True,True,False
8930e1db303ffff,50.9949.694.248.5448.674.244.247.717.98.3431.0816.0419.3517.3421.1518.0125.1130.0155.0135.6332.4918.6220.524.63,0.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,0.0,0.0,0,13.034565289101485,0,0,True,True,True
8930e1db30bffff,1399.141350.791350.211337.041302.651336.161316.51313.791241.161144.451148.611212.391267.11136.411092.361109.371118.591144.731298.251508.51522.591526.141396.661388.62,9.0,0.0,0.0,0,9.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3,47.0,28.5,2,15.882134998785263,0,0,True,True,True
8930e1db313ffff,93.290.8189.5188.7688.974.0895.474.39*201.51220.03228.245.265.26*8.54228.464.75199.29*143.27127.64114.19103.78,1.0,0.0,0.0,0,12.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4,0.0,0.0,0,13.693602158198082,0,0,True,True,True
8930e1db317ffff,21.0318.6420.0218.1619.1217.8718.6917.7318.2417.818.4218.0519.2119.120.9621.6526.0729.7834.0540.2740.8844.0144.0845.6547.2746.0548.2846.6848.9947.1649.3546.8748.9245.6948.9343.8949.1739.8247.0633.0343.0628.6637.7625.4931.3622.8127.0120.78,0.0,0.0,0.0,0,6.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2,0.0,0.0,0,11.845479548497256,0,0,True,True,True
8930e1db31bffff,106.4477.9367.9265.9171.3965.14102.12159.92257.86366.57370.86391.51447.19467.2476.83462.6526.83459.15496.97473.97414.82322.27252.17192.9,1.0,0.0,0.0,0,9.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3,27.0,25.5,2,15.468213827648313,0,0,True,True,True
